time,flux
131.5120226,1.000055975
131.5324571,0.999993502
131.5528915,1.000078566
131.5733258,1.000004828
131.5937602,0.999959287
131.6141947,0.999889246
131.634629,1.000096686
131.6550634,0.999982892
131.675498,1.000176858
131.6959324,1.000115223
131.7163667,1.000060264
131.7368011,0.999957679
131.7572356,1.00005317
131.7776699,0.999907907
131.7981043,0.999703753
131.8185388,0.999808602
131.8389731,0.999970674
131.8594075,1.00001961
131.8798419,0.999884901
131.9002763,1.00006199
131.9207108,0.999793585
131.9411452,0.999832926
131.9615796,0.999914049
131.982014,0.999959707
132.0024484,0.999967754
132.0228827,0.999972582
132.0433172,0.99996686
132.0637516,1.000002742
132.0841859,0.99994123
132.1046203,0.999970734
132.1250548,0.999919415
132.1454891,1.00004506
132.1659236,0.999974728
132.1863581,0.999968589
132.2067925,1.000164505
132.2272268,1.000245208
132.2476612,1.000219817
132.2680957,1.00002706
132.28853,0.999869469
132.3089644,1.000235432
132.3293989,0.999919596
132.3498332,1.000019788
132.3702676,1.000154967
132.390702,1.000072715
132.4111365,0.99997449
132.4315709,0.999991179
132.4520053,1.000012993
132.4724398,1.00001943
132.4928741,1.000067112
132.5133085,0.999968768
132.5337428,0.99990851
132.5541773,1.000030755
132.595046,0.999914709
132.6154805,1.000070093
132.6359149,1.000042556
132.6563493,1.000102994
132.6767836,1.000050424
132.6972182,1.000040411
132.7176526,1.000034451
132.7380869,1.000058054
132.7585214,1.000029206
132.7789558,0.999893846
132.7993901,0.999858621
132.8198245,1.000059365
132.840259,1.000126836
132.8606933,1.000077366
132.8811277,0.99987358
132.9015622,0.999857963
132.9219965,0.999874712
132.9424309,0.999943853
132.9628653,0.999874831
132.9832999,0.999959588
133.0037342,0.999996662
133.0241686,0.999938428
133.044603,0.999896943
133.0650374,1.000263574
133.0854718,1.000042141
133.1059062,0.999917447
133.1263406,1.000042976
133.146775,1.000128689
133.1672094,1.000088694
133.1876438,1.000137213
133.2080783,0.999953686
133.2285126,0.999937115
133.248947,0.999973237
133.2693814,0.999992251
133.2898158,0.999788637
133.3102503,1.000228887
133.3306846,1.000044526
133.3511191,0.999912081
133.3715535,0.999901948
133.3919879,0.999860939
133.4124223,0.999908564
133.4328567,0.999772125
133.4532911,1.000100436
133.4737254,0.999891755
133.4941599,0.999962508
133.5145943,0.999984622
133.5350286,0.999876436
133.5554631,1.000019074
133.5758975,1.000006139
133.5963318,0.99993497
133.6167662,0.999966144
133.6372007,0.999936281
133.6576352,1.000034154
133.6780695,1.000180845
133.698504,1.000046135
133.7189384,1.000157241
133.7393727,0.999916134
133.7598071,1.000056984
133.7802416,1.000069918
133.8006759,1.000122491
133.8211103,1.000027896
133.8415447,1.000140195
133.8619791,0.999933121
133.8824135,1.000057342
133.9028479,1.000123922
133.9232823,1.000044765
133.9437167,1.000201948
133.9641511,0.999873097
133.9845854,1.000005722
134.0050199,0.999972342
134.0254543,0.999893064
134.0458886,0.999941704
134.0663232,1.000082259
134.0867576,0.999983548
134.1071919,0.999988198
134.1276263,1.000026943
134.1480608,1.00006539
134.1684952,1.000065866
134.1889295,1.000080887
134.209364,1.000088756
134.2297984,1.000161655
134.2502327,0.999876255
134.2706671,0.999950764
134.2911016,0.999976157
134.3115359,0.999826662
134.3319703,0.99995446
134.3524048,0.999928472
134.3728391,1.000043453
134.4137079,1.000047686
134.4341423,0.999980151
134.4545767,1.000039937
134.4750111,1.000004947
134.4954456,0.999927339
134.5158799,1.000016571
134.5363143,0.999998987
134.5567486,1.000032188
134.5771832,0.999809674
134.5976176,0.999858909
134.6180519,0.999907787
134.6384863,0.999877209
134.6589208,0.999804488
134.6793552,0.999829404
134.6997896,1.000019551
134.720224,0.999986767
134.7406584,1.000034155
134.7610927,1.000016988
134.7815271,1.000078324
134.8019616,1.000222573
134.822396,0.999940989
134.8428303,0.999915179
134.8632648,0.999979197
134.8836992,0.999995529
134.9041336,1.000162726
134.9245679,0.999998808
134.9450024,0.999922989
134.9654368,1.000025869
134.9858711,1.000006378
135.0063056,0.999894796
135.02674,1.00006348
135.0471743,1.000204029
135.0676087,1.000058175
135.0880432,1.000240685
135.1084775,1.000061333
135.1289119,1.00001061
135.1493464,1.000133275
135.1697808,0.999930442
135.1902151,1.000034808
135.2106495,0.999936165
135.231084,0.999971987
135.2515183,1.000075576
135.2719527,1.000037192
135.292387,1.000000715
135.3128215,1.000038264
135.3332559,0.999942663
135.3536903,1.000131005
135.3741248,0.999758434
135.3945592,0.999882167
135.4149936,1.000044701
135.4354279,0.999980212
135.4558624,0.999801647
135.4762968,0.999906843
135.4967311,0.999877282
135.5171656,0.999647044
135.5376,1.00001192
135.5580343,1.000048396
135.5784687,0.999935512
135.5989032,1.000116697
135.6193375,0.999830914
135.6397719,1.000030754
135.6602064,1.000006318
135.6806408,1.000072116
135.7010751,1.00002527
135.7215095,0.999886164
135.741944,0.999925142
135.7623783,1.000333582
135.7828127,1.000017046
135.8032472,1.000044462
135.8236815,1.000108472
135.8441159,1.000310634
135.8645503,1.000314091
135.8849847,1.000058289
135.9054191,1.000100128
135.9258535,1.000075811
135.9462878,0.999890575
135.9667223,1.00006997
135.9871567,1.000155078
136.007591,1.000138152
136.0280255,1.000123609
136.0484599,0.999931818
136.0688942,0.999862742
136.0893286,1.000107637
136.1097631,1.000101558
136.1301975,1.000066752
136.1506318,1.000084274
136.1710663,1.000012158
136.1915007,0.999995947
136.211935,1.000064367
136.2323694,0.999826508
136.2528039,0.999904761
136.2732382,0.999909529
136.2936726,0.999781808
136.3141071,0.999712255
136.3345414,0.999957327
136.3549758,0.999963168
136.3754102,0.99990625
136.3958446,0.999834791
136.416279,0.999926693
136.4367134,0.999936229
136.4571479,1.000012277
136.4775822,1.000153407
136.4980166,0.99998224
136.518451,1.00022731
136.5388854,1.000069612
136.5593198,1.000035283
136.5797542,0.999864531
136.6001886,1.000037309
136.620623,0.999862444
136.6410574,1.000144708
136.6614918,1.000019787
136.6819262,1.000248172
136.7023606,0.999862206
136.722795,1.00001335
136.7432292,0.999964598
136.7636637,1.000185714
136.7840981,1.000052567
136.8045324,0.999818398
136.8249669,0.999938016
136.8454013,0.999981524
136.8658357,1.000032899
136.88627,0.999907977
136.9067045,0.9999522
136.9271389,0.999924665
136.9475732,1.000073309
136.9680077,0.999916738
136.9884421,1.000017999
137.0088764,1.00009715
137.0293108,0.999943975
137.0497453,0.99990881
137.0701796,0.99994016
137.090614,1.000165215
137.1110485,1.0002663
137.1314828,0.999994874
137.1519172,0.999904398
137.1723516,0.999999642
137.1927861,1.000057337
137.2132204,0.999887232
137.2336548,0.999931636
137.2540891,0.999957742
137.2745236,0.999843006
137.294958,1.00012922
137.3153923,1.000069617
137.3358268,1.000147937
137.3562612,1.000129938
137.3971299,1.000025272
137.4175644,1.000182391
137.4379988,1.000046969
137.4584331,0.999945878
137.4788675,0.999859092
137.4993019,0.999949573
137.5197362,0.999983668
137.5401706,1.000039519
137.5606051,1.000051023
137.5810394,1.000072243
137.6014738,1.000076833
137.6219083,0.999954699
137.6423427,1.000135427
137.662777,1.000019015
137.6832114,0.99993932
137.7036459,1.000029804
137.7240802,0.999754238
137.7445146,1.000019134
137.7649491,0.999931272
137.7853834,1.000046673
137.8058178,1.000079696
137.8262521,1.000040355
137.8466866,1.000013531
137.867121,0.999976932
137.8875554,1.000011683
137.9079897,0.99977921
137.9284242,0.99987822
137.9488585,0.999800906
137.9692928,0.999958631
137.9897273,1.000005901
138.0101617,0.999999046
138.030596,1.000010193
138.0510304,0.999967334
138.0714649,0.999729911
138.0918993,0.999941583
138.1123336,1.000011326
138.1327681,1.000058179
138.1532025,1.000037137
138.1736368,1.000056927
138.1940712,1.000118264
138.2145057,0.999903195
138.2349401,0.999953326
138.2553744,1.000034871
138.2758089,0.999988615
138.2962433,1.000012518
138.3166775,1.000034811
