time,intensity_400,intensity_600,intensity_800
8.2,0.125,1.375,1.625
8.24,0.125,0.75,1
8.28,0.25,0.75,1.25
8.32,0.875,0.625,1.5
8.36,4,0.875,0.75
8.4,1.75,1.125,0.875
8.44,0.25,0.625,2.126375
8.48,0.25,0.75,4.6625
8.52,0.5,0.875,3.520875
8.56,0.25,0.5,1.375
8.6,0.375,0.625,1.5
8.64,0.5,1,1.25
8.68,0.125,0.375,0.875
8.72,0.375,0.75,0.875
8.76,0.625,0.625,1.25
8.8,0.25,1.15275,1.375
8.84,0.125,4.625,1.875
8.88,0.25,3.541625,1.125
8.92,0.125,0.875,1.25
8.96,0.375,0.5,0.875
9,0.625,0.5,1
9.04,0.625,0.75,1
9.08,0.375,1.125,1.625
9.12,0.375,0.75,1.625
9.16,0.5,0.75,1.375
9.2,0.5,1,1.375
9.24,0.5,0.5,1.25
9.28,0.25,0.75,2.125
9.32,0.125,0.75,0.875
9.36,0.75,1.25,0.5
9.4,0.125,1.375,1.625
9.44,0.375,1.375,1.375
9.48,0.125,0.5,1.625
9.52,0.25,0.875,1
9.56,0.625,0.875,1.375
9.6,0.375,0.625,1.25
9.64,0.5,0.75,0.875
9.68,0.875,0.75,1.25
9.72,0.125,1.125,1.375
9.76,0.375,1.375,0.75
9.8,0.25,1,0.875
9.84,0.375,0.625,1.5
9.88,3.5,0.625,1
9.92,2.125,1,0.875
9.96,0.875,0.625,1.882
10,0.375,0.625,4.52775
10.04,0.125,0.75,5.041625
10.08,0.75,0.875,1.001375
10.12,0.5,1.25,1.625
10.16,0.25,0.5,1
10.2,0.5,1,1.375
10.24,0.75,1.25,1.75
10.28,0.125,0.625,1.625
10.32,0.5,1.388875,2.125
10.36,0.75,4.0555,0.875
10.4,0.125,5.208375,2
10.44,0.125,0.65275,1.125
10.48,0.25,0.875,1.375
10.52,0.25,1.5,1.875
10.56,0.25,1,1.25
10.6,0.25,0.75,0.75
10.64,0.5,0.875,1.25
10.68,0.375,0.75,1.875
10.72,0.5,1.125,1.5
10.76,0.625,0.75,0.75
10.8,0.75,0.375,1.125
10.84,0.125,1,1.25
10.88,0.5,1.375,1.375
10.92,0.25,0.5,1.375
10.96,0.375,0.875,1.375
11,0.125,1,0.75
11.04,0.375,0.375,0.75
11.08,0.375,0.125,1.75
11.12,0,0.875,1.5
11.16,0.125,1,1.375
11.2,0.375,0.75,2
11.24,0.625,1,0.75
11.28,0.375,0.75,1.5
11.32,0,0.375,1
11.36,0.75,1,1.75
11.4,2.875,1.25,1.25
11.44,3.875,0.75,1.5
11.48,0.5,1.125,1.25
11.52,0.5,0.625,2.263875
11.56,0.25,0.625,4.65975
11.6,0.125,1,1.126375
11.64,0.5,0.75,1.125
11.68,0.125,0.625,1.5
11.72,0.5,0.625,1.375
11.76,0.375,1,0.875
11.8,0.5,1.375,1.25
11.84,0.25,0.375,1
11.88,0.5,2.15275,0.375
11.92,0.375,4.5695,1.625
11.96,0.375,0.77775,1.625
12,0.625,0.875,2
12.04,0,0.625,1.5
12.08,0.125,1,1.25
12.12,0.625,0.5,1
12.16,0,0.625,1.125
12.2,0.25,0.75,0.625
12.24,0.375,1.125,1.375
12.28,0.375,1,1.125
12.32,0.25,0.625,1
12.36,0.25,0.75,1.5
12.4,0.5,0.625,1.625
12.44,0.375,0.5,1
12.48,0.625,0.75,1.625
12.52,0.25,0.375,1.125
12.56,0.5,1,1.25
12.6,0.625,0.625,1.5
12.64,0.125,0.625,2.125
12.68,1.125,0.625,1.5
12.72,0.75,0.625,0.75
12.76,0.25,1,1.75
12.8,0.125,1,1.75
12.84,0.25,1,1.375
12.88,0.125,0.875,1.875
12.92,1.5,1.25,1.125
12.96,3.375,0.5,1.5
13,0.5,1.25,1.25
13.04,0.125,1.25,3.275
13.08,0.375,0.625,5.168
13.12,0.25,0.75,1.001375
13.16,0.625,1,1.875
13.2,0.25,1.625,0.625
13.24,0.375,0.75,1.625
13.28,0.375,0.75,1.625
13.32,0.125,0.375,1.375
13.36,0.625,1.25,1.125
13.4,0.25,4.125,1.625
13.44,0.625,5.236125,1
13.48,0.375,0.77775,1.25
13.52,0.125,1.25,1.375
13.56,0.625,0.5,1.125
13.6,0.5,0.625,1.875
13.64,0.25,1.25,1.375
13.68,0.375,0.375,0.375
13.72,0.125,0.75,1.375
13.76,0.5,1.125,1.375
13.8,0.25,0.25,2.125
13.84,0.375,0.875,1.75
13.88,0.875,1.125,1
13.92,0.375,1.125,2
13.96,0.625,0.75,1.25
14,0.125,0.75,0.875
14.04,0.5,0.875,1.125
14.08,0,0.25,1.5
14.12,0.25,0.75,1.125
14.16,0.25,0.5,1.125
14.2,0.125,0.5,0.625
14.24,0.375,0.375,0.875
14.28,0.375,0.375,1.5
14.32,0.125,0.625,1.375
14.36,0.375,1,2
14.4,0.125,0.625,1.75
14.44,2.25,1,1.25
14.48,4,0.875,1.125
14.52,0.75,0.625,1.876375
14.56,0.75,0.875,2.263875
14.6,0.25,0.25,5.29025
14.64,0.375,0.75,0.879125
14.68,0.25,1.125,1.875
14.72,0.375,1,1.5
14.76,0.125,1,1.5
14.8,0.125,0.625,1.25
14.84,0.5,0.75,0.75
14.88,0.625,0.65275,1.5
14.92,0.375,2.02775,1.125
14.96,0.25,5.4305,2
15,0.5,1.083375,1.25
15.04,0.75,1.125,0.75
15.08,0.5,0.625,1.375
15.12,0.125,0.625,0.5
15.16,0.875,0.875,1.25
15.2,0.375,1,0.875
15.24,0.25,0.625,1.25
15.28,0.375,0.5,1.125
15.32,0.125,0.125,0.875
15.36,0.125,1,1.5
15.4,0.375,1,0.75
15.44,0.25,1.375,1.375
15.48,0.125,0.5,1
15.52,0.25,0.875,1.5
15.56,0.375,1.375,0.875
15.6,0.75,1,1.375
15.64,0.5,1.625,1.375
15.68,0.125,1.375,0.5
15.72,0,1.5,0.75
15.76,0.625,0.625,1
15.8,0.375,0.5,1.125
15.84,0.375,1.125,1.75
15.88,0.5,2,1.375
15.92,0.375,0.375,1.5
15.96,1.25,0.625,1.125
16,4,0.625,1.125
16.04,0.625,1.125,1.501375
16.08,0.5,0.875,1.88475
16.12,0.875,0.75,5.170875
16.16,0.75,0.125,1.258375
16.2,0.375,0.625,1.375
16.24,0.125,1.5,1.5
16.28,0.25,0.75,1
16.32,0.375,0.875,1.5
16.36,0.125,0.75,2
16.4,0.625,0.77775,0.625
16.44,0.125,1.8195,0.75
16.48,0.625,5.541625,2
16.52,0.625,1.916625,1.25
16.56,0.75,0.5,1
16.6,0.125,1,1.25
16.64,0.375,1.125,0.375
16.68,0.25,0.75,1.5
16.72,0.375,1,0.625
16.76,0.5,0.875,1.5
16.8,0.375,0.625,1.375
16.84,0.75,1,0.875
16.88,0.125,0.5,0.875
16.92,0.125,1.125,1.75
16.96,0.25,0.75,1
17,0.25,0.625,0.625
17.04,0.375,0.25,1.625
17.08,0.5,0.875,0.75
17.12,0.25,1.375,1
17.16,0.125,0.25,1.375
17.2,0.375,0.875,1
17.24,0.25,1,1.5
17.28,0.25,0.25,0.625
17.32,0.375,1.25,1.25
17.36,0,1.125,1.5
17.4,0.125,0.875,1.75
17.44,0.375,0.75,2
17.48,1.25,0.375,2.75
17.52,4.125,1.125,1.5
17.56,1.5,0.875,1.5
17.6,0.375,0.25,1.63475
17.64,0.25,1.125,6.295875
17.68,0.75,0.75,2.763875
17.72,0.375,1.375,1.875
17.76,0.5,0.625,0.875
17.8,0.625,0.75,1.25
17.84,0.5,0.375,1.375
17.88,0,0.625,1.625
17.92,0.625,0.625,0.75
17.96,0.25,2.1945,1.375
18,0.5,6.541625,1.5
18.04,0.375,2.27775,1.75
18.08,0.25,1.375,1.375
18.12,0.25,1,1.375
18.16,0,0.5,0.625
18.2,0.625,0.75,1
18.24,0.25,0.875,1.375
18.28,0.125,0.75,1.75
18.32,0.5,0.75,1.5
18.36,0.25,1.125,1
18.4,0.75,0.875,0.75
18.44,0.125,1,1.5
18.48,0.25,0.375,1.25
18.52,0.125,0.875,0.625
18.56,0.5,1,1.25
18.6,0.25,1,1.5
18.64,0.25,0.625,1.625
18.68,0.25,0.875,1.625
18.72,0.25,0.375,2
18.76,0.125,1.25,1.25
18.8,0,1.125,1.625
18.84,0.125,1,0.75
18.88,0.625,0.625,1.25
18.92,0.5,1,1.75
18.96,0,1,1.25
19,1.5,1.375,1.875
19.04,5,0.375,1.625
19.08,1.75,0.625,0.75
19.12,0.5,0.5,1.254125
19.16,0.5,0.875,3.5305
19.2,0.125,0.125,2.26525
19.24,0.125,0.75,1.126375
19.28,0.25,0.75,1.25
19.32,1,0.75,1
19.36,0.25,0.875,0.75
19.4,0.375,1,1.375
19.44,0.125,0.5,1.375
19.48,0.5,1.333375,0.625
19.52,0.25,4.236125,0.75
19.56,0,3.0555,1.5
19.6,0.25,1.40275,0.875
19.64,0,0.5,2.125
19.68,0.125,0.5,1.625
19.72,0.25,0.625,1.125
19.76,0.125,0.875,1
19.8,0.625,0.625,1.125
19.84,0.625,0.5,1.125
19.88,0.5,0.625,1.375
19.92,0.125,0.5,1.875
19.96,0.125,1.125,1.125
20,0.125,0.625,1.25
20.04,0.25,1,1.875
20.08,0.25,0.625,2.375
20.12,0.625,0.25,1.5
20.16,0.5,0.5,0.5
20.2,0.125,0.625,1.5
20.24,0.375,0.5,0.875
20.28,0.75,1.375,0.625
20.32,0.125,0.375,0.75
20.36,0.25,0.875,1.375
20.4,0.5,0.75,1.125
20.44,0.875,0.5,1.375
20.48,0.5,1.875,1.25
20.52,0.875,0.75,1.375
20.56,3,0.625,1.375
20.6,1.75,0.875,1.375
20.64,0.25,1.875,1.126375
20.68,0.625,0.375,4.283375
20.72,0.375,1,3.64725
20.76,0.5,0.75,1.25
20.8,0.125,0.5,1.625
20.84,0.625,1,1
20.88,0.625,0.625,1.25
20.92,0.125,0.5,0.75
20.96,0.5,0.75,1.5
21,0.25,1.90275,1.875
21.04,0.125,3.916625,1.375
21.08,0.5,3.5695,1.25
21.12,0.125,1.25,1.625
21.16,0.25,0.75,1
21.2,0.625,0.75,2
21.24,0.25,0.25,1.5
21.28,0.5,0.875,1.625
21.32,0.125,0.375,1.125
21.36,0.5,0.75,1.375
21.4,0.625,0.25,1.25
21.44,0.375,1.5,0.875
21.48,0.375,0.875,1.625
21.52,0.5,0.375,1
21.56,0.75,0.875,1.375
21.6,0.125,0.5,1.625
21.64,0,1,1.5
21.68,0.375,1,0.875
21.72,0.125,1.25,1.375
21.76,0.25,0.5,1
21.8,0.375,1,0.75
21.84,0.25,1.125,1.5
21.88,0.25,0.625,1.375
21.92,0.125,1.375,1.75
21.96,0.125,1.25,1.25
22,0.625,1,1.375
22.04,0.375,0.5,1.125
22.08,3.5,1.25,0.625
22.12,2.5,0.75,1.375
22.16,0.125,0.5,1.001375
22.2,0.125,2,4.163875
22.24,0.25,0.875,3.651375
22.28,0.375,1.125,1.12775
22.32,0.5,0.875,1.375
22.36,0.5,0.625,1
22.4,0.5,1.75,1.125
22.44,0,0.625,1.875
22.48,0.25,0.75,0.875
22.52,0.375,0.52775,0.625
22.56,0.125,4.77775,2.125
22.6,0.5,3.77775,1.25
22.64,0,1.1805,1.125
22.68,0.375,1.25,1
22.72,0.25,0.75,1.25
22.76,0,0.875,1.25
22.8,0.5,0.875,1
22.84,0.125,0.875,0.75
22.88,0.125,1.125,0.875
22.92,0.25,0.375,1.125
22.96,0.125,1.125,0.375
23,0.5,0.25,1
23.04,0.25,0.875,0.875
23.08,0.125,1.125,1.125
23.12,0.375,1,1.25
23.16,0.25,1.25,0.625
23.2,0,0.625,1.625
23.24,0.25,0.875,1.125
23.28,0.25,1.25,1
23.32,0,1.25,1.5
23.36,0.25,0.625,1.25
23.4,0.25,0.75,1.125
23.44,0.25,1.375,1.5
23.48,0.5,1,1.5
23.52,0.5,1,1.5
23.56,0.5,0.75,1.25
23.6,3.875,0.75,1.75
23.64,3.25,0.375,1
23.68,0.5,0.875,0.875
23.72,0.25,0.375,3.776375
23.76,0.25,1.125,5.17225
23.8,0.125,0.5,1.504125
23.84,0.375,0.75,1.125
23.88,0.5,0.625,1.25
23.92,0.375,1,0.75
23.96,0.625,0.875,2.375
24,0.625,1.25,2
24.04,0.125,0.5,1.375
24.08,0.125,3.52775,1.625
24.12,0.125,5.6945,1.125
24.16,0.25,1.458375,1.375
24.2,0.5,0.5,1.5
24.24,0.375,1.125,1.25
24.28,0.75,1.125,0.625
24.32,0.125,0.625,1
24.36,0.25,0.75,0.625
24.4,0.375,0,1.5
24.44,0.5,1,2.5
24.48,0.25,0.875,1.625
24.52,0.25,0.625,1.5
24.56,0.25,0.75,1.875
24.6,0.625,0.875,1.125
24.64,0.875,0.625,1.875
24.68,0,0.5,1
24.72,0.375,0.375,1.125
24.76,0.375,0.5,1
24.8,0.125,1.5,1.125
24.84,0.375,1,0.5
24.88,1,0.375,1.25
24.92,0.25,1.125,0.875
24.96,0.875,0.5,0.875
25,0.5,0.5,1.75
25.04,0.625,0.875,0.875
25.08,0.5,0.75,1.5
25.12,2.625,0.875,1.125
25.16,4.625,1.25,1.125
25.2,0.5,0.75,0.5
25.24,0.125,0.75,3.1445
25.28,0.625,0.75,3.275
25.32,0.5,0.875,2.257
25.36,0.5,0.75,1
25.4,0.5,1,1.125
25.44,0.5,0.5,1.5
25.48,0.125,0.875,0.75
25.52,0.125,1.25,1
25.56,0.125,0.875,2.5
25.6,0.125,2.888875,1.75
25.64,0.375,3.25,1
25.68,0.375,2.263875,1
25.72,0.375,0.875,1.25
25.76,0,0.5,1.5
25.8,0.125,0.625,1.125
25.84,0.25,1.125,1.75
25.88,0.25,0.5,1.125
25.92,0.625,1.625,1.75
25.96,0.125,1.375,1.5
26,0.25,0.75,1.125
26.04,0,0.625,0.875
26.08,0.375,0.875,1.375
26.12,0.375,1.125,1.375
26.16,0.125,1,1.5
26.2,0.25,0.625,1.25
26.24,0.25,1.625,0.75
26.28,0.125,0.375,1.75
26.32,0,1.25,1.5
26.36,0.25,1.375,1.25
26.4,0.25,0.5,1.625
26.44,0.125,0.25,1.5
26.48,0.375,0.875,1
26.52,0.375,1,1.875
26.56,0.25,0.25,1.125
26.6,0.25,0.375,1.375
26.64,2.25,0.875,1.75
26.68,2.5,0.625,0.75
26.72,0.875,1,1.625
26.76,0.5,0.25,1.507
26.8,0.125,1,3.908375
26.84,0.125,0.5,3.25975
26.88,0,0.5,1.625
26.92,0.5,1.125,1
26.96,0.375,1,1.5
27,0,0.875,0.625
27.04,0.625,1,1.75
27.08,0.375,0.5,1.375
27.12,0.25,2.013875,1.5
27.16,0.5,4.166625,1.625
27.2,0.25,2.0695,1.375
27.24,0.25,1.25,0.875
27.28,0.25,0.75,2.375
27.32,0.375,1,1.25
27.36,0.25,1.125,0.875
27.4,0.125,0.375,1
27.44,0.5,1,2.125
27.48,0.875,1.125,1.25
27.52,0.5,1,1
27.56,0.25,2.25,1.75
27.6,0.25,0.625,1.125
27.64,0.5,0.625,2.125
27.68,0.25,1,1.625
27.72,0,0.875,1.875
27.76,0.25,1,1.5
27.8,0.25,1,1
27.84,0.75,0.5,0.75
27.88,0.125,1,1.5
27.92,0.5,0.625,1.625
27.96,0.25,0.5,1
28,0.125,0.625,1.625
28.04,0.375,1.25,1
28.08,0.125,0.625,0.625
28.12,0.125,0.875,1.25
28.16,1,1.25,1.25
28.2,3.375,0.75,1.75
28.24,1.5,0.625,1.625
28.28,0.625,0.75,2.0055
28.32,0.375,0.75,4.29025
28.36,0.25,0.75,2.136125
28.4,0.25,0.625,1.5
28.44,0.25,1,1.625
28.48,0.375,0.625,1.375
28.52,0.375,0.625,1.625
28.56,0.25,1.125,1.375
28.6,0.25,0.875,1
28.64,0.125,1.236125,1.125
28.68,0.375,5.6805,0.625
28.72,0.75,2.47225,0.75
28.76,0.25,1.125,2.125
28.8,0.25,0.5,2.25
28.84,0.5,0.75,1.75
28.88,0.5,0.5,1.125
28.92,0.75,0.625,1.125
28.96,0.375,0.875,1.375
29,0.125,0.875,1.25
29.04,0.5,0.5,1.625
29.08,0.375,0.875,0.75
29.12,0.375,0.875,1.375
29.16,0,0.75,1.875
29.2,0,0.75,1.5
29.24,0.25,0.5,1.375
29.28,0.5,1.25,1
29.32,0.5,0.375,1.125
29.36,0.125,0.625,0.875
29.4,0.625,1.25,1.625
29.44,0.25,0.375,1.5
29.48,0.625,1.25,2.125
29.52,0.375,0.5,0.875
29.56,0.125,1.125,1.125
29.6,0.625,0.375,0.875
29.64,0.125,1.375,1.375
29.68,1.25,0.75,1.125
29.72,4,0.75,1.625
29.76,1.75,0.5,1.375
29.8,0.5,0.75,1.626375
29.84,0.5,0.75,5.918
29.88,0.125,0.625,3.1445
29.92,0.875,0.875,1.126375
29.96,0.25,1.375,1.75
30,0.25,0.5,1.375
30.04,0.25,1.125,1.5
30.08,0.5,0.875,1.125
30.12,0.5,0.625,2.125
30.16,0.625,0.65275,1
30.2,0.5,5.236125,1
30.24,0,3.138875,1.625
30.28,0.125,0.40275,1.25
30.32,0.375,0.875,1.25
30.36,0.375,0.5,1.375
30.4,0.25,0.375,1.375
30.44,0.5,0.75,1.5
30.48,0.25,0.625,0.625
30.52,0.625,0.75,1.375
30.56,0.25,0.625,1.25
30.6,0.375,0.25,1
30.64,0.125,0.625,1.375
30.68,0.5,0.75,1.75
30.72,0.375,0.875,1.625
30.76,0.125,1.5,2.875
30.8,0.25,0.75,1.75
30.84,0.25,0.5,1.25
30.88,0.375,0.875,0.875
30.92,0.5,1.25,1.125
30.96,0.125,0.75,1.25
31,0.5,1.25,1.125
31.04,0.375,0.625,1.5
31.08,0.75,1,1.25
31.12,0.25,0.75,1.5
31.16,0.5,1,1.5
31.2,0.25,1.125,2.375
31.24,3.875,0.625,1.625
31.28,2.125,1,1.125
31.32,0.5,0.75,1.12775
31.36,0.125,0.25,4.791625
31.4,0.625,0.625,3.525
31.44,0.5,0.75,1.5
31.48,0.625,0.625,1.375
31.52,0.25,0.75,1
31.56,0.5,0.125,1.625
31.6,0.25,0.375,1.125
31.64,0.125,0.625,1.25
31.68,0.25,0.6805,1.375
31.72,0.375,5.083375,1.875
31.76,0.625,3.375,0.75
31.8,0.5,1.375,1.375
31.84,0.125,1.25,1.25
31.88,0,1.125,1.375
31.92,0.125,0.875,0.875
31.96,0.125,1.25,1.875
32,0.25,1.125,1.875
32.04,0,0.375,1.75
32.08,0.625,0.625,1.5
32.12,0.5,1.25,0.75
32.16,0.5,0.875,0.75
32.2,0.125,0.875,0.75
32.24,0.625,0.5,0.625
32.28,0.25,1.125,1.5
32.32,0.375,1,1.375
32.36,0.25,0.5,1.125
32.4,0.375,0.125,1.125
32.44,0.25,0.25,1.75
32.48,0.25,1,1.5
32.52,0.25,0.5,1.75
32.56,0,0.625,1.75
32.6,0.125,1.125,0.875
32.64,0.25,0.375,1.75
32.68,0.375,0.875,0.625
32.72,0.5,0.25,1.375
32.76,4.25,0.625,1.625
32.8,2.5,1.375,1.5
32.84,0.25,0.875,1.376375
32.88,0.5,0.5,6.293
32.92,0.375,0.875,3.654125
32.96,0.375,0.875,1.62775
33,0.125,0.25,1.25
33.04,0.375,2,1.75
33.08,0.5,0.875,1.875
33.12,0,0.75,1.75
33.16,0.375,0.625,2.25
33.2,0.375,1.27775,1.125
33.24,0.25,5.611125,1.875
33.28,0.375,3.958375,1.875
33.32,0.375,0.5555,1
33.36,0.375,0.375,0.875
33.4,0.875,1.125,1.75
33.44,0.375,1,1.125
33.48,0,0.5,0.625
33.52,0.375,1.125,2
33.56,0.375,0.75,1.25
33.6,0.375,1,1.25
33.64,0.125,1.375,1
33.68,1,0.625,1.125
33.72,0.125,1.5,1.75
33.76,0.5,1.375,1.5
33.8,0.5,0.875,1.5
33.84,0.625,0.75,1
33.88,0.5,0.875,1.125
33.92,0.25,1.125,1.75
33.96,0.125,0.375,1.125
34,0.125,0.75,1.125
34.04,0.375,1.125,1.625
34.08,0.5,0.875,1.125
34.12,0.875,0.625,1.25
34.16,0.25,0.25,1.375
34.2,0.125,1.25,1.25
34.24,0.5,0.75,1.625
34.28,4.25,0.625,0.625
34.32,2.875,0.25,1.75
34.36,0.625,1.25,0.625
34.4,0.5,0.375,4.029125
34.44,0.375,0.625,4.411125
34.48,0.375,0.75,1.751375
34.52,0.625,0.625,0.625
34.56,0.625,1.25,1
34.6,0.25,0.5,1.125
34.64,0.875,0.375,1.25
34.68,0.375,0.5,1
34.72,0.375,0.75,0.875
34.76,0.25,4.083375,1
34.8,0.25,4.72225,0.875
34.84,0.375,1.15275,1.5
34.88,1,0.5,1.25
34.92,0.125,0.5,1.375
34.96,0.25,1,1.75
35,0.25,0.375,1.125
35.04,0.375,0.625,1.625
35.08,0.375,0.5,1.625
35.12,0.375,1,0.875
35.16,0.125,0.875,2.25
35.2,0.375,1.125,1.125
35.24,0.625,0.75,1.125
35.28,0.25,0.75,1.25
35.32,0.5,1,1.5
35.36,0.5,0.75,0.5
35.4,0,0.375,1.25
35.44,0.375,0.625,1.5
35.48,0.375,1,1.75
35.52,0.25,0.5,1.75
35.56,0.5,0.375,0.625
35.6,0.5,1.375,1.25
35.64,0.875,0.625,1.5
35.68,0.875,1.75,1.75
35.72,0.375,1.125,1.25
35.76,0.25,0.5,1.5
35.8,2.875,0.75,0.875
35.84,3.75,0.5,1.375
35.88,0.5,1.125,1.251375
35.92,0.125,0.5,3.52225
35.96,0.25,0.75,5.0445
