time,intensity_800,intensity_1200,intensity_1400
8.04,0.75,3,3.25
8.08,0.5,2.375,4.25
8.12,0.25,3,3.25
8.16,0.625,3.125,1.625
8.2,0.125,3.125,2.5
8.24,0.5,3.25,2.875
8.28,0.875,2.5,3
8.32,0.625,3,3.5
8.36,0.25,3.125,2.125
8.4,0.375,2.875,2.375
8.44,0.375,3.04375,2.71875
8.48,0.5,3.75625,4.40625
8.52,1,5.128125,4.640625
8.56,0.94375,3.0375,3.8125
8.6,3.08125,2.459375,2.671875
8.64,5.603125,2,2.375
8.68,1.9875,3,2.75
8.72,1.534375,2.875,3.375
8.76,1.375,2.625,3.125
8.8,0.375,1.75,2.75
8.84,0.75,2,3.5
8.88,0.75,2.125,3
8.92,1,2.375,2.625
8.96,1.125,2,2.875
9,0.375,1.875,3.625
9.04,0.75,3,1.875
9.08,0.375,2.375,3.5
9.12,1,2.875,3.25
9.16,0.625,2.875,3
9.2,0.875,2.375,3.25
9.24,0.75,2.75,3.375
9.28,0.875,2.5,2.875
9.32,0.5,1.625,2.875
9.36,0.375,2.375,2.5
9.4,0.625,1.875,3.75
9.44,0.875,2.375,2
9.48,0.875,3,3.25
9.52,0.625,2.25,2.625
9.56,1.375,1.875,2.875
9.6,0.5,1.875,2.625
9.64,0.625,1.625,3.5
9.68,0.25,1.43125,2.15625
9.72,0.375,4.334375,3.171875
9.76,0.75,4.815625,3.828125
9.8,0.73125,2.959375,3.171875
9.84,3.159375,2.9875,3.4375
9.88,6.165625,2.25,2.25
9.92,3.034375,2.125,2.375
9.96,1.0875,3.125,1.625
10,0.5,2.75,3.25
10.04,0.25,2.125,3.125
10.08,0.5,2,2.875
10.12,0.875,2.125,1.875
10.16,0.5,2.375,3.375
10.2,0.375,2.5,3.125
10.24,1.25,2.375,3.25
10.28,0.625,2,2.75
10.32,0.875,3.25,3
10.36,0.5,2.875,2.25
10.4,1,2.125,4
10.44,1,2.375,2
10.48,0.875,3,1.5
10.52,1.125,2.125,2.375
10.56,0.75,2.625,2.5
10.6,0.375,2.625,2.625
10.64,0.625,2.25,2.75
10.68,1,2,2.25
10.72,0.375,2.5,3.375
10.76,0.5,2,3.75
10.8,0.875,2.375,3.375
10.84,0.5,2.625,2.75
10.88,0.75,2.625,2.625
10.92,0.5,2.709375,2.421875
10.96,0.875,3.69375,3.09375
11,0.75,5.175,4.75
11.04,1.159375,3.575,3.75
11.08,3.01875,3.209375,2.921875
11.12,5.9,2.5,3.25
11.16,3.975,2.875,3.25
11.2,0.909375,2.25,3
