time,intensity_400,intensity_600,intensity_800
1.165,0,0,0
1.17,0,0,0.25
1.175,0,0.125,0.125
1.18,0.375,3.141625,0.25
1.185,0.125,12.783375,0.5
1.19,0,0.541625,0.125
1.195,0,0,0.375
1.2,0.125,0,0.25
1.205,0.125,0,0.125
1.21,0,0.25,0
1.215,0.125,0.125,0.5
1.22,0,0.125,0.25
1.225,0,0,0
1.23,0,0.125,0.125
1.235,0,0,0.125
1.24,0.125,0.125,0.125
1.245,12.25,0,0
1.25,23.625,0,0
1.255,0.75,0.25,0
1.26,0.25,0.375,0.125
1.265,0,0,0
1.27,0,0,0
1.275,0.125,0,0
1.28,0,0,0
1.285,0.125,0.125,0.125
1.29,0,0,0
1.295,0,0.125,0
1.3,0.125,0,0.25
1.305,0.125,0,0.375
1.31,0,0.125,2.15675
1.315,0,0.375,10.33175
1.32,0,0,0.816625
1.325,0,0,0.125
1.33,0.125,0.25,0
1.335,0.25,0,0.125
1.34,0,0.375,0.375
1.345,0,0.775,0.375
1.35,0.375,12.6375,0.125
1.355,0,3.629125,0.125
1.36,0.125,0,0
1.365,0,0,0.5
1.37,0,0.125,0.25
1.375,0,0,0
1.38,0.125,0.125,0.125
1.385,0,0.125,0.25
1.39,0,0,0
1.395,0.125,0,0.125
1.4,0,0.25,0
1.405,0,0,0.25
1.41,4.375,0,0.125
1.415,28.75,0.125,0
1.42,3.625,0.125,0
1.425,0.125,0,0.25
1.43,0.125,0,0
1.435,0,0.125,0.125
1.44,0,0,0.125
1.445,0,0.125,0.25
1.45,0.125,0,0.125
1.455,0.125,0,0.125
1.46,0,0,0.25
1.465,0,0,0
1.47,0,0,0.25
1.475,0,0.125,0.60525
1.48,0,0.125,10.841125
1.485,0,0,2.762
1.49,0,0,0.25
1.495,0,0.25,0
1.5,0.25,0.125,0
1.505,0,0.125,0.25
1.51,0,0.1625,0.25
1.515,0,8.504125,0.125
1.52,0,8.991625,0.125
1.525,0,0.5375,0.5
1.53,0.125,0.125,0.125
1.535,0,0,0.25
1.54,0.125,0.25,0.125
1.545,0,0,0.125
1.55,0.125,0.125,0.125
1.555,0.125,0,0.5
1.56,0.125,0.25,0
1.565,0,0.125,0.125
1.57,0.125,0,0.125
1.575,0.5,0,0.125
1.58,24,0,0.375
1.585,13.5,0.125,0.25
1.59,0,0,0.25
1.595,0,0.125,0.25
1.6,0,0,0.125
1.605,0,0.125,0.25
1.61,0.125,0,0.375
1.615,0,0.125,0
1.62,0,0.375,0.25
1.625,0.125,0,0.25
1.63,0.125,0.25,0.125
1.635,0,0.125,0
1.64,0,0.25,0.625
1.645,0,0,4.88025
