time,intensity_400,intensity_405,intensity_410
0,0,0,0
0.005,0,0.125,0.125
0.01,0,0.125,0
0.015,0.125,0.125,0.25
0.02,0,0.25,0.25
0.025,0,0.375,0.125
0.03,0,1.72525,0.125
0.035,0.125,28.465875,0
0.04,0,6.531125,0
0.045,0,0,0.25
0.05,0,0.125,0
0.055,0,0,0
0.06,0,0,0
0.065,0.125,0,0
0.07,0,0,0.125
0.075,1.875,0.25,0.125
0.08,28.875,0.125,0.125
0.085,6.625,0.25,0.25
0.09,0.125,0.375,0
0.095,0,0,0
0.1,0,0,0.125
0.105,0.125,0,0
0.11,0.5,0.125,0
0.115,0,0.125,0.125
0.12,0,0,0
0.125,0.125,0,0.125
0.13,0,0,0.125
0.135,0,0,0.125
0.14,0,0,0
0.145,0,0.25,0
0.15,0.125,0,0.1215
0.155,0,0,17.497125
0.16,0,0,20.169125
0.165,0,0,0.125
0.17,0,0.25,0
0.175,0,0.125,0
0.18,0,0.125,0
0.185,0.125,0,0
0.19,0,0,0
0.195,0,0.12325,0
0.2,0,17.4985,0
0.205,0,20.209625,0
0.21,0,0,0
0.215,0,0.125,0
0.22,0,0,0.125
0.225,0,0,0
0.23,0,0.125,0.125
0.235,0,0,0
0.24,0.125,0,0.25
0.245,17.75,0.125,0.125
0.25,20.625,0,0
0.255,0,0,0.125
0.26,0,0,0.125
0.265,0,0,0
0.27,0,0,0
0.275,0,0,0
0.28,0,0,0
0.285,0,0.125,0.25
0.29,0,0,0.125
0.295,0,0.125,0
0.3,0,0,0
0.305,0,0.125,0.125
0.31,0.125,0.25,0
0.315,0,0,0.125
0.32,0.125,0.125,6.80875
0.325,0,0.125,28.056875
0.33,0,0.125,2.18975
0.335,0,0,0.125
0.34,0,0.125,0
0.345,0,0.125,0
0.35,0,0,0.125
0.355,0,0,0.125
0.36,0.125,0.125,0
0.365,0,6.779375,0.25
0.37,0,28.590875,0
0.375,0.125,2.219875,0.125
0.38,0,0,0
0.385,0.125,0,0
0.39,0.375,0,0
0.395,0,0,0.125
0.4,0,0.125,0
0.405,0,0.125,0
0.41,6.75,0,0
0.415,29.125,0.125,0
0.42,2.25,0,0.125
0.425,0.125,0.25,0
0.43,0,0.125,0
0.435,0,0,0.125
0.44,0,0,0.125
0.445,0,0.125,0.125
0.45,0,0,0.125
0.455,0,0.25,0
0.46,0,0.125,0
0.465,0,0.125,0
0.47,0,0,0
0.475,0.25,0,0
0.48,0.125,0,0
0.485,0,0,1.22525
0.49,0.125,0,25.388375
0.495,0.125,0,11.5385
0.5,0.125,0,0
0.505,0,0.125,0.125
0.51,0,0.125,0
0.515,0,0,0
0.52,0,0.25,0
0.525,0,0,0
0.53,0.25,0.862625,0.125
0.535,0.125,25.631625,0.125
0.54,0,11.70675,0.125
0.545,0,0,0
0.55,0,0.125,0
0.555,0,0,0
0.56,0.125,0,0
0.565,0.125,0,0.125
